dataset,sequence,condition,backend,recording,rule,frames,ospa,gospa,loc2,miss2,false2,countError,outputCount
v2v_development,0007,reliable,GCE,testoutput_CAV_data_2022-03-17-11-51-42,positive_rejected_veto,221,2.889940560312305,8.985144534339545,10.539414288708471,67.76470588235294,45.61085972850679,0.9864253393665159,13.14027149321267
v2v_development,0007,reliable,GCE,testoutput_CAV_data_2022-03-17-11-51-42,negative_rejected_veto,221,2.894620012094226,9.006019607496611,10.546983181825842,68.09049773755656,45.93665158371041,0.9864253393665159,13.14027149321267
v2v_development,0007,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-51-42,original,221,3.0741824718402118,9.568116538037362,14.321056441964203,83.72850678733032,37.14027149321267,1.0452488687782806,12.800904977375566
v2v_development,0007,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-51-42,paired_veto,221,3.0783528854453746,9.58730146883106,14.317739187068117,84.05429864253394,37.46606334841629,1.0452488687782806,12.800904977375566
v2v_development,0007,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-51-42,positive_rejected_veto,221,3.0741824718402118,9.568116538037362,14.321056441964203,83.72850678733032,37.14027149321267,1.0452488687782806,12.800904977375566
v2v_development,0007,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-51-42,negative_rejected_veto,221,3.0783528854453746,9.58730146883106,14.317739187068117,84.05429864253394,37.46606334841629,1.0452488687782806,12.800904977375566
v2v_development,0007,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-51-42,original,221,3.6677597469572776,12.074982670543115,29.543906028110236,144.81447963800906,68.90497737556561,1.4298642533936652,12.393665158371041
v2v_development,0007,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-51-42,paired_veto,221,3.672607025826271,12.086071485467542,29.55072171515925,145.14027149321268,68.90497737556561,1.4343891402714932,12.389140271493213
v2v_development,0007,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-51-42,positive_rejected_veto,221,3.6677597469572776,12.074982670543115,29.543906028110236,144.81447963800906,68.90497737556561,1.4298642533936652,12.393665158371041
v2v_development,0007,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-51-42,negative_rejected_veto,221,3.672607025826271,12.086071485467542,29.55072171515925,145.14027149321268,68.90497737556561,1.4343891402714932,12.389140271493213
v2v_development,0007,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-51-42,original,221,3.6309403577162063,11.898613971592292,33.18062223703642,140.579185520362,61.90045248868778,1.4502262443438914,12.355203619909503
