mode,condition,frame,robot,phase,left_count,right_count,common_labels,same_labels,exact,maximum_existence_difference,maximum_mean_difference,maximum_covariance_difference,equal
nominal,reliable,19,2,target_local,1,2,1,False,False,0.3144765873273508,1.0246377346313094,0.915744344633683,False
nominal,reliable,19,2,target_posterior,4,43,4,False,False,0.5156152191770157,2.953770054584723,1.2651174007392818,False
nominal,reliable,20,1,predicted,81,91,79,False,False,0.5104590669852456,4.000389304942342,0.0,False
nominal,reliable,20,1,local,75,84,72,False,False,0.8391466689284003,3.7027590249923907,16.684143963243088,False
nominal,reliable,20,1,posterior,69,77,65,False,False,0.7420879218249687,4.042635332644661,13.448208428638374,False
nominal,reliable,20,1,fused,75,84,72,False,False,0.7420879218249687,12.39236389932816,59.49701420303819,False
nominal,reliable,20,1,target_local,1,41,1,False,False,0.8391466689284003,1.096856192627268,1.4057989503812465,False
nominal,reliable,20,1,target_posterior,1,40,1,False,False,0.7420879218249687,1.183145097168458,1.5333346465379378,False
nominal,reliable,20,2,predicted,71,81,68,False,False,0.5104590669852456,4.000389304942342,0.0,False
nominal,reliable,20,2,local,18,17,14,False,False,0.5104590669852456,3.044075632541904,25.988097665517685,False
nominal,reliable,20,2,posterior,69,77,65,False,False,0.7420879218249682,4.042635332644661,13.448208428638374,False
nominal,reliable,20,2,fused,75,84,71,False,False,0.7420879218249682,13.24429375366566,38.94619171466432,False
nominal,reliable,20,2,target_local,1,3,1,False,False,0.5104590669852456,1.2129533695006183,1.1089788126911255,False
nominal,reliable,20,2,target_posterior,1,40,1,False,False,0.7420879218249682,1.183145097168458,1.5333346465379378,False
nominal,reliable,21,1,predicted,79,87,75,False,False,0.734667042606719,4.042635332644661,0.0,False
nominal,reliable,21,1,local,78,87,75,False,False,0.8306712364494433,3.576044470563431,17.736873110714455,False
nominal,reliable,21,1,posterior,77,87,74,False,False,0.8491655535445126,3.87880176566415,17.73687311071445,False
nominal,reliable,21,1,fused,78,87,75,False,False,0.8491655535445126,3.87880176566415,143.92852493805168,False
nominal,reliable,21,1,target_local,1,30,1,False,False,0.8306712364494433,0.8322242613749034,1.643839115638409,False
nominal,reliable,21,1,target_posterior,1,30,1,False,False,0.8491655535445126,0.9932798444075461,1.7845355062828805,False
nominal,reliable,21,2,predicted,69,77,65,False,False,0.7346670426067186,4.042635332644661,0.0,False
nominal,reliable,21,2,local,9,10,8,False,False,0.7346670426067186,1.183145097168458,7.16345249178779,False
nominal,reliable,21,2,posterior,77,87,74,False,False,0.8491655535445117,3.87880176566415,17.73687311071445,False
nominal,reliable,21,2,fused,78,87,74,False,False,0.8491655535445117,3.87880176566415,17.73687311071445,False
nominal,reliable,21,2,target_local,1,3,1,False,False,0.7346670426067186,1.183145097168458,1.5333346465379378,False
nominal,reliable,21,2,target_posterior,1,30,1,False,False,0.8491655535445117,0.9932798444075461,1.7845355062828805,False
nominal,reliable,22,1,predicted,87,97,84,False,False,0.8406738980090674,3.87880176566415,0.0,False
nominal,reliable,22,1,local,82,83,79,False,False,0.7472699257233345,3.1640785559666162,22.111555790656475,False
nominal,reliable,22,1,posterior,77,78,73,False,False,0.8519597685583233,3.494798097581704,22.111555790656467,False
nominal,reliable,22,1,fused,82,83,79,False,False,0.8519597685583233,3.494798097581704,22.111555790656467,False
nominal,reliable,22,1,target_local,1,16,1,False,False,0.7472699257233345,0.5774562879447747,1.8779015914081505,False
nominal,reliable,22,1,target_posterior,1,16,1,False,False,0.8519597685583233,0.7601249107216687,2.0332802603039006,False
nominal,reliable,22,2,predicted,77,87,74,False,False,0.8406738980090666,3.87880176566415,0.0,False
nominal,reliable,22,2,local,12,15,12,False,False,0.8406738980090666,0.9932798444075461,2.017442458235873,False
nominal,reliable,22,2,posterior,77,78,73,False,False,0.8519597685583218,3.494798097581704,22.111555790656467,False
nominal,reliable,22,2,fused,82,83,78,False,False,0.8519597685583218,3.494798097581704,22.111555790656467,False
nominal,reliable,22,2,target_local,1,3,1,False,False,0.8406738980090666,0.9932798444075461,1.7845355062828805,False
