sequence,condition,truth_id,frame,robot,arm,preprune_components,retained_components,sum_r,max_r,probability_effective_count,born_in_last_ten_frames,total_retained_components,matched
v2xt_0001,reliable,5,85,2,marked_gaussian_evidence,211,211,0.6354414171401576,0.0031248924840777477,208.68731567787202,26,233,False
v2xt_0001,reliable,5,86,1,marked_gaussian_evidence,214,214,0.6281229003214531,0.0030432874014205673,211.67662166521615,25,235,False
v2xt_0001,reliable,5,86,2,marked_gaussian_evidence,214,214,0.6281229003214531,0.0030432874014205673,211.67662166521615,25,235,False
v2xt_0001,reliable,5,87,1,marked_gaussian_evidence,217,217,0.6098378269717767,0.0029115699053393358,214.6912922969941,25,238,False
v2xt_0001,reliable,5,87,2,marked_gaussian_evidence,217,217,0.6098378269717767,0.0029115699053393358,214.6912922969941,25,238,False
v2xt_0001,reliable,5,88,1,marked_gaussian_evidence,220,220,0.6130176306224868,0.0028856722062730695,217.67459472754416,25,241,False
v2xt_0001,reliable,5,88,2,marked_gaussian_evidence,220,220,0.6130176306224868,0.0028856722062730695,217.67459472754416,25,241,False
v2xt_0001,reliable,5,89,1,marked_gaussian_evidence,224,224,0.4353095747655153,0.0020536468933245104,221.84740863352886,27,242,False
v2xt_0001,reliable,5,89,2,marked_gaussian_evidence,224,224,0.4353095747655153,0.0020536468933245104,221.84740863352886,27,242,False
v2xt_0001,reliable,5,90,1,marked_gaussian_evidence,223,223,0.43665313622734164,0.002059253033157026,220.7399765936077,23,242,False
v2xt_0001,reliable,5,90,2,marked_gaussian_evidence,223,223,0.43665313622734164,0.002059253033157026,220.7399765936077,23,242,False
v2xt_0001,reliable,5,91,1,marked_gaussian_evidence,223,223,0.46277963839761255,0.002157130300201211,220.96812291818856,20,240,False
v2xt_0001,reliable,5,91,2,marked_gaussian_evidence,223,223,0.46277963839761255,0.002157130300201211,220.96812291818856,20,240,False
v2xt_0001,reliable,5,92,1,marked_gaussian_evidence,221,221,0.5014841247656123,0.0023253220521376856,220.03375472481622,15,242,False
v2xt_0001,reliable,5,92,2,marked_gaussian_evidence,221,221,0.5014841247656123,0.0023253220521376856,220.03375472481622,15,242,False
v2xt_0001,reliable,5,93,1,marked_gaussian_evidence,219,219,0.529857435257062,0.0024546345003535297,218.79480680582546,10,247,False
v2xt_0001,reliable,5,93,2,marked_gaussian_evidence,219,219,0.529857435257062,0.0024546345003535297,218.79480680582546,10,247,False
v2xt_0001,reliable,5,94,1,marked_gaussian_evidence,227,227,0.4578882641147044,0.0020773572244292427,225.61527775457208,15,246,False
v2xt_0001,reliable,5,94,2,marked_gaussian_evidence,227,227,0.4578882641147044,0.0020773572244292427,225.61527775457208,15,246,False
v2xt_0001,reliable,5,95,1,marked_gaussian_evidence,222,222,0.5214209873904614,0.002372886970113133,221.68576757206625,7,245,False
v2xt_0001,reliable,5,95,2,marked_gaussian_evidence,222,222,0.5214209873904614,0.002372886970113133,221.68576757206625,7,245,False
v2xt_0001,reliable,5,96,1,marked_gaussian_evidence,219,219,0.5512596961058948,0.0027970863572799936,218.97383262828103,1,252,False
v2xt_0001,reliable,5,96,2,marked_gaussian_evidence,219,219,0.5512596961058948,0.0027970863572799936,218.97383262828103,1,252,False
v2xt_0001,reliable,5,97,1,marked_gaussian_evidence,231,231,0.4633175311640436,0.002100280535422743,229.14842657173236,11,248,False
v2xt_0001,reliable,5,97,2,marked_gaussian_evidence,231,231,0.4633175311640436,0.002100280535422743,229.14842657173236,11,248,False
v2xt_0001,reliable,5,98,1,marked_gaussian_evidence,229,229,0.5425422413618107,0.0024132930668631447,228.01021796136095,9,252,False
v2xt_0001,reliable,5,98,2,marked_gaussian_evidence,229,229,0.5425422413618107,0.0024132930668631447,228.01021796136095,9,252,False
v2xt_0001,reliable,5,99,1,marked_gaussian_evidence,223,223,0.5818309494148304,0.0027592487129629033,222.90040062551554,4,255,False
v2xt_0001,reliable,5,99,2,marked_gaussian_evidence,223,223,0.5818309494148304,0.0027592487129629033,222.90040062551554,4,255,False
v2xt_0001,reliable,5,100,1,marked_gaussian_evidence,222,222,0.6028766545916839,0.002764262413895715,221.85741720462528,5,261,False
v2xt_0001,reliable,5,100,2,marked_gaussian_evidence,222,222,0.6028766545916839,0.002764262413895715,221.85741720462528,5,261,False
