x,input_left_intensity,input_right_intensity,kla_intensity,mil_intensity,conditional_ga_intensity
-3.38,0.2969231034875729,4.625427714140497e-10,5.610300478570011e-05,0.14846155197505784,0.001054928713458194
-3.37,0.29803865547834674,4.929900697819293e-10,5.80287961298957e-05,0.14901932798566841,0.0010911401889911229
-3.36,0.29912848429850275,5.253890477088901e-10,6.001469040498394e-05,0.1495642424119459,0.0011284818055531081
-3.35,0.3001922775335504,5.598612758863844e-10,6.206234053255569e-05,0.15009613904670582,0.0011669846437333967
-3.34,0.3012297294666032,5.965356657246803e-10,6.417343707409784e-05,0.15061486503156943,0.001206680491880246
-3.33,0.30224054122469174,6.355488977468813e-10,6.634970882754584e-05,0.15112027093012032,0.0012476018573181532
-3.32,0.3032244209221614,6.770458740568925e-10,6.859292342471958e-05,0.15161221079960363,0.0012897819775816997
-3.31,0.30418108380105996,7.211801961779642e-10,7.090488792930572e-05,0.15209054226112007,0.0013332548316596637
-3.3,0.3051102523684193,7.68114669624987e-10,7.328744943504231e-05,0.152555126568267,0.001378055151242945
-3.29,0.30601165653033924,8.180218366435193e-10,7.5742495663745e-05,0.15300582867418053,0.0014242184319695032
-3.28,0.30688503372278286,8.710845386216544e-10,7.827195556280798e-05,0.1534425172969337,0.0014717809446594251
-3.27,0.30773012903899427,9.27496509757361e-10,8.087779990179429e-05,0.1538650649832454,0.0015207797465328643
-3.26,0.3085466953534529,9.874630036445062e-10,8.356204186772398e-05,0.15427334817045796,0.001571252692403501
-3.25,0.3093344934422795,1.0512014545247072e-09,8.632673765865082e-05,0.15466724724674047,0.0016232384458398147
-3.2399999999999998,0.31009329210001135,1.1189421750404902e-09,8.917398707511142e-05,0.15504664660947676,0.0016767764902863567
-3.23,0.31082286825266875,1.1909290924176128e-09,9.210593410901265e-05,0.1554114347217989,0.00173190714013685
-3.2199999999999998,0.3115230070670324,1.267420525101164e-09,9.512476752951658e-05,0.15576150416722645,0.0017886715517508344
-3.21,0.3121935020560595,1.3486900019713608e-09,9.823272146546261e-05,0.15609675170237475,0.0018471117344051966
-3.1999999999999997,0.3128341551803648,1.435027126371274e-09,0.00010143207598386331,0.15641707830769597,0.0019072705611718759
-3.19,0.31344477694569695,1.5267384872894928e-09,0.00010472515766398584,0.15672238923621773,0.0019691917797125605
-3.1799999999999997,0.3140251864963432,1.6241486201574446e-09,0.0001081143401665319,0.1570125940602459,0.0020329200229812212
-3.17,0.3145752117043978,1.7276010198425233e-09,0.00011160204479740242,0.1572876067159994,0.0020985008198248197
-3.16,0.3150946892548327,1.8374592085456949e-09,0.0001151907410655349,0.15754734554614594,0.00216598060547256
-3.15,0.31558346472631116,1.954107861445636e-09,0.0001188829472342745,0.15779173334020952,0.002235406731903558
-3.14,0.31604139266768905,2.0779539930708253e-09,0.00012268123086573845,0.1580206973728215,0.0023068274780827513
-3.13,0.31646833667014995,2.2094282075268722e-09,0.00012658820935761698,0.15823416943978907,0.002380292060054603
-3.12,0.3168641694349249,2.348986015859145e-09,0.0001306065504718374,0.15843208589195545,0.0024558506408837925
-3.11,0.3172287728365487,2.4971092239901275e-09,0.00013473897285451445,0.15861438766682898,0.0025335543404320653
-3.1,0.3175620379816095,2.6543073948378443e-09,0.00013898824654658606,0.15878102031795843,0.002613455244959935
-3.09,0.3178638652629507,2.8211193883963047e-09,0.00014335719348453597,0.15893193404203504,0.002695606416541985
-3.08,0.31813416440928716,2.9981149837408312e-09,0.00014784868799057481,0.15906708370370107,0.0027800619022839506
-3.07,0.31837285453020087,3.1858965871121427e-09,0.00015246565725165762,0.15918642885804873,0.0028668767433298894
-3.06,0.3185798641564856,3.385101030431903e-09,0.00015721108178668827,0.1592899337707933,0.002956106983647228
-3.05,0.31875513127581123,3.5964014648105967e-09,0.00016208799590126046,0.15937756743610634,0.0030478096785774484
-3.04,0.31889860336368403,3.820509353825821e-09,0.0001670994881292653,0.1594493035920967,0.003142042903139823
-3.03,0.3190102374096798,4.058176571576399e-09,0.00017224870166069237,0.1595051207339282,0.0032388657600755442
-3.02,0.31908999993893294,4.310197610754208e-09,0.00017753883475492952,0.15954500212456527,0.00333833838761917
